simulacion_id,num_puertas,premio,eleccion_inicial,puerta_abierta,estrategia,resultado
175,3,0,0,2,No cambiar,1
176,3,2,1,0,No cambiar,0
177,3,1,1,2,No cambiar,1
178,3,1,0,2,No cambiar,0
179,3,2,1,0,No cambiar,0
180,3,2,1,0,No cambiar,0
181,3,1,2,0,No cambiar,0
182,3,1,1,0,No cambiar,1
183,3,0,2,1,No cambiar,0
184,3,2,2,0,No cambiar,1
185,3,0,2,1,No cambiar,0
186,3,2,1,0,No cambiar,0
187,3,1,2,0,No cambiar,0
188,3,0,1,2,No cambiar,0
189,3,0,1,2,No cambiar,0
190,3,0,1,2,No cambiar,0
191,3,0,1,2,No cambiar,0
192,3,0,1,2,No cambiar,0
193,3,2,0,1,No cambiar,0
194,3,1,1,0,No cambiar,1
195,3,2,1,0,No cambiar,0
196,3,1,1,0,No cambiar,1
197,3,0,0,2,No cambiar,1
198,3,0,2,1,No cambiar,0
199,3,0,0,2,No cambiar,1
200,3,0,1,2,No cambiar,0
201,3,2,1,0,No cambiar,0
202,3,1,2,0,No cambiar,0
203,3,1,2,0,No cambiar,0
204,3,0,0,1,No cambiar,1
205,3,2,1,0,No cambiar,0
206,3,2,1,0,No cambiar,0
207,3,1,1,0,No cambiar,1
208,3,1,2,0,No cambiar,0
209,3,1,0,2,No cambiar,0
210,3,0,0,2,No cambiar,1
211,3,2,1,0,No cambiar,0
212,3,0,1,2,No cambiar,0
213,3,2,1,0,No cambiar,0
214,3,0,0,1,No cambiar,1
215,3,2,1,0,No cambiar,0
216,3,1,0,2,No cambiar,0
217,3,0,1,2,No cambiar,0
218,3,2,2,1,No cambiar,1
219,3,2,1,0,No cambiar,0
220,3,0,1,2,No cambiar,0
221,3,0,2,1,No cambiar,0
222,3,2,0,1,No cambiar,0
223,3,2,0,1,No cambiar,0
224,3,0,1,2,No cambiar,0
225,3,0,0,2,No cambiar,1
226,3,0,1,2,No cambiar,0
227,3,1,0,2,No cambiar,0
228,3,2,1,0,No cambiar,0
229,3,0,2,1,No cambiar,0
230,3,1,0,2,No cambiar,0
231,3,1,1,0,No cambiar,1
232,3,0,1,2,No cambiar,0
233,3,1,1,0,No cambiar,1
234,3,0,2,1,No cambiar,0
235,3,1,2,0,No cambiar,0
236,3,1,0,2,No cambiar,0
237,3,2,1,0,No cambiar,0
238,3,1,0,2,No cambiar,0
239,3,2,0,1,No cambiar,0
240,3,2,0,1,No cambiar,0
241,3,1,2,0,No cambiar,0
242,3,0,1,2,No cambiar,0
243,3,0,1,2,No cambiar,0
244,3,1,1,0,No cambiar,1
245,3,2,2,1,No cambiar,1
246,3,1,2,0,No cambiar,0
247,3,0,1,2,No cambiar,0
248,3,0,1,2,No cambiar,0
249,3,1,1,0,No cambiar,1
250,3,2,1,0,No cambiar,0
251,3,0,2,1,No cambiar,0
252,3,0,2,1,No cambiar,0
253,3,0,1,2,No cambiar,0
254,3,1,2,0,No cambiar,0
255,3,1,1,2,No cambiar,1
256,3,1,0,2,No cambiar,0
257,3,2,2,0,No cambiar,1
258,3,2,1,0,No cambiar,0
259,3,1,0,2,No cambiar,0
260,3,1,1,2,No cambiar,1
261,3,2,0,1,No cambiar,0
262,3,0,1,2,No cambiar,0
263,3,0,0,1,No cambiar,1
264,3,0,1,2,No cambiar,0
265,3,0,0,2,No cambiar,1
266,3,0,2,1,No cambiar,0
267,3,0,2,1,No cambiar,0
268,3,2,2,0,No cambiar,1
269,3,1,1,2,No cambiar,1
270,3,2,0,1,No cambiar,0
271,3,0,2,1,No cambiar,0
272,3,1,0,2,No cambiar,0
273,3,1,0,2,No cambiar,0
274,3,1,2,0,No cambiar,0
275,3,1,1,0,No cambiar,1
276,3,0,2,1,No cambiar,0
277,3,2,0,1,No cambiar,0
278,3,0,1,2,No cambiar,0
279,3,1,2,0,No cambiar,0
280,3,0,1,2,No cambiar,0
281,3,0,2,1,No cambiar,0
282,3,2,1,0,No cambiar,0
283,3,2,0,1,No cambiar,0
284,3,0,1,2,No cambiar,0
285,3,2,2,0,No cambiar,1
286,3,0,0,1,No cambiar,1
287,3,0,1,2,No cambiar,0
288,3,1,2,0,No cambiar,0
289,3,0,2,1,No cambiar,0
290,3,2,2,0,No cambiar,1
291,3,0,1,2,No cambiar,0
292,3,0,1,2,No cambiar,0
293,3,1,0,2,No cambiar,0
294,3,2,2,0,No cambiar,1
295,3,1,1,2,No cambiar,1
296,3,2,1,0,No cambiar,0
297,3,1,2,0,No cambiar,0
298,3,2,0,1,No cambiar,0
299,3,0,2,1,No cambiar,0
300,3,0,2,1,No cambiar,0
301,3,0,2,1,No cambiar,0
302,3,1,1,2,No cambiar,1
303,3,0,1,2,No cambiar,0
304,3,2,1,0,No cambiar,0
305,3,2,2,0,No cambiar,1
306,3,1,2,0,No cambiar,0
307,3,2,2,1,No cambiar,1
308,3,0,1,2,No cambiar,0
309,3,0,2,1,No cambiar,0
310,3,1,2,0,No cambiar,0
311,3,2,0,1,No cambiar,0
312,3,1,0,2,No cambiar,0
313,3,0,2,1,No cambiar,0
314,3,1,0,2,No cambiar,0
315,3,2,1,0,No cambiar,0
316,3,2,2,1,No cambiar,1
317,3,1,0,2,No cambiar,0
318,3,0,1,2,No cambiar,0
319,3,1,0,2,No cambiar,0
320,3,2,1,0,No cambiar,0
321,3,1,2,0,No cambiar,0
322,3,0,1,2,No cambiar,0
323,3,1,2,0,No cambiar,0
324,3,2,0,1,No cambiar,0
325,3,0,1,2,No cambiar,0
326,3,0,2,1,No cambiar,0
327,3,1,1,2,No cambiar,1
328,3,1,2,0,No cambiar,0
329,3,2,1,0,No cambiar,0
330,3,1,0,2,No cambiar,0
331,3,1,2,0,No cambiar,0
332,3,2,2,0,No cambiar,1
333,3,1,2,0,No cambiar,0
334,3,0,1,2,No cambiar,0
335,3,0,0,2,No cambiar,1
336,3,2,0,1,No cambiar,0
337,3,0,0,2,No cambiar,1
338,3,2,1,0,No cambiar,0
339,3,2,1,0,No cambiar,0
340,3,0,1,2,No cambiar,0
341,3,2,0,1,No cambiar,0
342,3,1,1,2,No cambiar,1
343,3,1,1,2,No cambiar,1
344,3,0,0,1,No cambiar,1
345,3,1,0,2,No cambiar,0
346,3,0,2,1,No cambiar,0
347,3,2,2,1,No cambiar,1
348,3,2,2,1,No cambiar,1
349,3,1,0,2,No cambiar,0
350,3,1,1,2,No cambiar,1
351,3,0,2,1,No cambiar,0
352,3,2,0,1,No cambiar,0
